Nr KP/M PSP,Nazwa KP/M PSP,Nazwa KW PSP,RAZEM Pożar (P),Mały (P/M),Średni (P/Ś),Duży (P/D),Bardzo duży (P/BD),RAZEM Miejscowe zagrożenie (MZ),Małe (MZ/M),Lokalne (MZ/L),Średnie (MZ/Ś),Duże (MZ/D),Gigantyczne lub klęska żywiołowa (MZ/K),RAZEM Alarm fałszywy (AF),Złośliwy (A/Z),W dobrej wierze (A/DW),Z instalacji wykrywania (A/IW),OGÓŁEM
101000,KM PSP Wrocław,KW PSP Wrocław,2301,2257,39,5,0,7051,1711,5073,258,8,1,2242,73,983,1186,11594
103000,KP PSP Bolesławiec,KW PSP Wrocław,468,453,14,1,0,1246,172,1008,57,9,0,142,12,94,36,1856
104000,KP PSP Dzierżoniów,KW PSP Wrocław,302,295,6,1,0,1002,201,769,31,1,0,93,11,63,19,1397
105000,KP PSP Głogów,KW PSP Wrocław,303,291,11,1,0,620,17,543,46,14,0,156,2,144,10,1079
106000,KP PSP Góra,KW PSP Wrocław,151,139,10,1,1,503,159,320,22,2,0,19,0,17,2,673
107000,KP PSP Jawor,KW PSP Wrocław,193,187,5,1,0,1093,235,839,19,0,0,84,4,73,7,1370
108000,KM PSP Jelenia Góra,KW PSP Wrocław,565,546,17,2,0,3035,733,2222,79,1,0,342,7,265,70,3942
110000,KP PSP Kamienna Góra,KW PSP Wrocław,144,139,5,0,0,967,165,781,20,1,0,40,1,26,13,1151
111000,KP PSP Kłodzko,KW PSP Wrocław,579,564,15,0,0,3110,372,2638,94,2,4,263,4,199,60,3952
112000,KM PSP Legnica,KW PSP Wrocław,936,892,37,5,2,1686,511,1100,68,6,1,306,10,152,144,2928
114000,KP PSP Lubań,KW PSP Wrocław,277,263,14,0,0,896,101,775,18,2,0,111,2,81,28,1284
115000,KP PSP Lubin,KW PSP Wrocław,299,288,9,2,0,733,124,582,22,5,0,187,2,109,76,1219
116000,KP PSP Lwówek Śląski,KW PSP Wrocław,250,237,11,2,0,1320,51,1251,16,2,0,56,3,37,16,1626
117000,KP PSP Milicz,KW PSP Wrocław,131,124,6,1,0,1017,296,701,20,0,0,46,0,37,9,1194
118000,KP PSP Oleśnica,KW PSP Wrocław,358,342,15,0,1,1012,135,852,24,1,0,49,2,33,14,1419
119000,KP PSP Oława,KW PSP Wrocław,277,265,10,2,0,865,215,594,53,3,0,120,3,64,53,1262
120000,KP PSP Polkowice,KW PSP Wrocław,212,206,6,0,0,643,77,549,17,0,0,68,3,59,6,923
121000,KP PSP Strzelin,KW PSP Wrocław,202,188,12,2,0,655,106,526,23,0,0,58,1,48,9,915
122000,KP PSP Środa Śląska,KW PSP Wrocław,258,243,14,1,0,754,85,628,36,5,0,113,2,85,26,1125
123000,KP PSP Świdnica,KW PSP Wrocław,466,449,15,2,0,1783,319,1410,49,5,0,168,7,130,31,2417
124000,KP PSP Trzebnica,KW PSP Wrocław,340,326,13,1,0,1461,351,1060,50,0,0,142,2,114,26,1943
125000,KM PSP Wałbrzych,KW PSP Wrocław,500,492,8,0,0,1566,268,1259,39,0,0,144,14,67,63,2210
127000,KP PSP Wołów,KW PSP Wrocław,171,159,8,4,0,774,297,462,12,3,0,38,0,31,7,983
128000,KP PSP Ząbkowice Śląskie,KW PSP Wrocław,247,234,10,2,1,1139,123,954,57,5,0,146,3,114,29,1532
129000,KP PSP Zgorzelec,KW PSP Wrocław,810,793,15,1,1,1108,140,938,28,2,0,136,6,102,28,2054
130000,KP PSP Złotoryja,KW PSP Wrocław,217,211,6,0,0,945,79,838,28,0,0,47,3,34,10,1209
201000,KM PSP Toruń,KW PSP Toruń,828,802,25,1,0,2248,404,1784,52,8,0,545,7,329,209,3621
203000,KP PSP Aleksandrów Kujawski,KW PSP Toruń,138,131,5,2,0,699,55,640,4,0,0,120,1,110,9,957
204000,KP PSP Brodnica,KW PSP Toruń,191,179,10,2,0,784,54,713,16,1,0,69,4,49,16,1044
205000,KM PSP Bydgoszcz,KW PSP Toruń,951,933,17,0,1,3007,659,2251,94,3,0,670,17,312,341,4628
207000,KP PSP Chełmno,KW PSP Toruń,136,128,7,1,0,767,98,638,30,1,0,34,2,25,7,937
208000,KP PSP Golub-Dobrzyń,KW PSP Toruń,122,115,7,0,0,580,39,535,5,1,0,36,2,27,7,738
209000,KM PSP Grudziądz,KW PSP Toruń,341,329,10,2,0,1763,287,1432,43,1,0,200,14,91,95,2304
211000,KP PSP Inowrocław,KW PSP Toruń,360,338,21,1,0,1303,133,1145,24,1,0,200,10,147,43,1863
212000,KP PSP Lipno,KW PSP Toruń,204,195,8,0,1,745,41,692,11,1,0,50,2,45,3,999
213000,KP PSP Mogilno,KW PSP Toruń,100,94,6,0,0,625,49,560,16,0,0,55,2,47,6,780
214000,KP PSP Nakło nad Notecią,KW PSP Toruń,188,179,8,1,0,1111,129,965,16,1,0,67,2,63,2,1366
215000,KP PSP Radziejów,KW PSP Toruń,117,109,8,0,0,653,52,594,7,0,0,43,1,25,17,813
216000,KP PSP Rypin,KW PSP Toruń,103,101,2,0,0,641,44,587,10,0,0,37,9,22,6,781
217000,KP PSP Sępólno Krajenskie,KW PSP Toruń,79,76,2,1,0,755,51,688,13,3,0,33,2,21,10,867
218000,KP PSP Świecie,KW PSP Toruń,338,328,8,2,0,1116,139,941,36,0,0,93,11,48,34,1547
219000,KP PSP Tuchola,KW PSP Toruń,142,137,5,0,0,730,72,656,2,0,0,52,4,30,18,924
220000,KP PSP Wąbrzeźno,KW PSP Toruń,90,79,10,1,0,747,55,684,7,1,0,30,0,30,0,867
221000,KM PSP Włocławek,KW PSP Toruń,624,598,25,1,0,1423,271,1108,41,3,0,200,14,138,48,2247
223000,KP PSP Żnin,KW PSP Toruń,171,162,9,0,0,1060,95,935,30,0,0,107,3,70,34,1338
301000,KM PSP Lublin,KW PSP Lublin,1193,1163,29,0,1,3691,664,2963,61,3,0,820,7,222,591,5704
303000,KM PSP Biała Podlaska,KW PSP Lublin,473,451,18,2,2,1108,171,905,32,0,0,77,1,34,42,1658
305000,KP PSP Biłgoraj,KW PSP Lublin,259,239,20,0,0,484,35,433,14,2,0,69,3,39,27,812
306000,KM PSP Chełm,KW PSP Lublin,400,367,29,4,0,990,149,833,8,0,0,59,1,35,23,1449
308000,KP PSP Hrubieszów,KW PSP Lublin,159,145,13,1,0,763,66,685,11,1,0,40,1,26,13,962
309000,KP PSP Janów Lubelski,KW PSP Lublin,128,120,7,1,0,358,52,290,13,3,0,18,0,7,11,504
310000,KP PSP Krasnystaw,KW PSP Lublin,198,177,21,0,0,449,49,376,23,1,0,31,0,22,9,678
311000,KP PSP Kraśnik,KW PSP Lublin,209,196,13,0,0,677,107,550,19,1,0,35,2,20,13,921
312000,KP PSP Lubartów,KW PSP Lublin,310,282,24,4,0,715,70,622,22,1,0,38,0,22,16,1063
313000,KP PSP Łęczna,KW PSP Lublin,210,195,15,0,0,382,46,315,21,0,0,21,0,9,12,613
314000,KP PSP Łuków,KW PSP Lublin,269,252,15,2,0,849,55,771,21,2,0,58,1,39,18,1176
315000,KP PSP Opole Lubelskie,KW PSP Lublin,166,148,18,0,0,518,49,444,22,3,0,39,3,29,7,723
316000,KP PSP Parczew,KW PSP Lublin,167,153,14,0,0,313,35,276,2,0,0,11,0,10,1,491
317000,KP PSP Puławy,KW PSP Lublin,352,344,8,0,0,932,106,809,16,1,0,72,2,45,25,1356
318000,KP PSP Radzyń Podlaski,KW PSP Lublin,149,138,9,2,0,308,22,275,11,0,0,35,3,8,24,492
319000,KP PSP Ryki,KW PSP Lublin,192,182,10,0,0,604,59,534,11,0,0,32,1,27,4,828
